block_code,block_Coordinator_EmailId
801067,block1r@gmail.com
816020,block2r@gmail.com
803010,block3r@gmail.com
815161,block4r@gmail.com
816031,block5r@gmail.com
802011,block1r@gmail.com
801020,block2r@gmail.com
803031,block3r@gmail.com
815080,block4r@gmail.com
816011,block5r@gmail.com
802020,block1r@gmail.com
803070,block2r@gmail.com
815140,block3r@gmail.com
816020,block4r@gmail.com
802040,block5r@gmail.com
802060,block1r@gmail.com
801080,block2r@gmail.com
803050,block3r@gmail.com
815160,block1r@gmail.com
801021,block1r@gmail.com
801085,block1r@gmail.com
